First,Second,Third,Fourth,Fifth,PB
3,16,29,61,69,22
8,23,25,40,53,5
3,18,22,27,33,17
9,12,22,41,61,25
16,19,34,37,64,22
11,14,34,47,51,18
31,59,62,65,68,5
15,46,61,63,64,1
23,40,49,65,69,23
4,11,40,44,50,4
6,16,33,40,62,2
7,14,23,24,60,14
15,27,43,45,53,9
8,9,19,31,38,21
6,18,34,35,36,2
4,15,35,50,64,8
7,35,36,43,62,3
8,31,57,65,67,23
2,18,19,25,35,25
8,11,28,33,42,2
28,48,51,61,69,20
4,21,43,48,49,22
8,12,45,46,63,24
8,16,24,33,54,18
5,9,25,28,69,5
33,35,58,61,69,25
1,28,34,50,58,8
7,19,21,54,63,21
13,28,44,52,55,6
4,35,43,52,62,12
2,12,37,51,61,22
5,25,42,44,65,20
3,16,32,52,62,24
23,29,50,64,67,11
17,21,23,27,52,19
4,6,9,23,59,25
13,25,29,37,53,3
30,33,40,43,52,25
31,36,43,48,62,25
5,17,23,35,45,24
1,7,44,57,61,21
1,29,37,56,68,13
23,27,32,35,59,11
13,47,52,64,67,25
12,18,28,48,52,5
9,29,31,34,43,2
13,14,37,50,60,11
7,34,40,42,52,15
4,10,24,29,53,4
15,16,41,48,60,21
5,20,28,39,42,13
14,15,30,40,59,20
16,34,40,45,66,19
10,21,23,35,65,24
1,2,3,57,59,9
26,43,51,56,60,24
1,12,14,18,69,2
15,44,63,66,69,20
4,33,45,46,51,25
7,25,37,39,63,1
20,24,42,43,49,19
3,20,30,52,62,1
16,22,44,45,53,19
4,29,37,55,67,10
20,23,48,59,66,4
4,23,30,46,62,2
5,17,41,64,69,1
12,41,44,52,64,25
7,11,21,53,61,2
5,20,29,39,53,6
6,23,35,36,47,12
6,7,25,46,57,12
8,11,21,49,59,15
11,18,23,38,60,9
12,28,33,36,54,5
11,13,28,51,58,1
17,40,47,50,55,6
2,4,16,23,63,13
24,28,40,63,65,20
18,20,50,52,56,20
2,23,36,44,49,25
28,48,55,60,62,20
10,11,34,59,68,14
7,18,22,50,65,15
6,21,28,49,60,20
4,44,47,52,57,9
3,16,45,54,56,12
21,32,36,45,49,18
2,17,18,29,43,3
23,44,57,60,62,9
19,27,30,50,62,14
12,37,47,54,60,17
23,29,32,49,61,8
8,12,31,33,38,18
2,40,47,53,55,20
8,15,17,53,66,14
5,6,27,40,49,5
15,16,32,47,54,6
14,31,35,64,69,23
8,41,52,53,58,7
4,6,16,39,66,9
3,6,32,37,65,4
1,20,36,38,43,24
17,34,46,66,67,14
26,32,43,54,56,24
6,12,28,35,66,26
